pokedex_number,name,generation,classfication,abilities,height_m,weight_kg,type1,type2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,capture_rate,base_egg_steps,base_happiness,is_legendary,is_mythical,is_mega
491,Darkrai,4,Pitch-Black Pokemon,['Bad Dreams'],1.5,50.5,Dark,,600,70,90,90,135,90,125,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,3,30840,0,0,1,0
492,Shaymin,4,Gratitude Pokemon,['Natural Cure'],0.20000000000000001,2.1000000000000001,Grass,,600,100,100,100,100,100,100,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,30840,100,0,1,0
492,Shaymin-Sky,4,Gratitude Pokemon,['Serene Grace'],0.40000000000000002,5.2000000000000002,Grass,Flying,600,100,103,75,120,75,127,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,30840,100,0,1,0
493,Arceus-*,4,Alpha Pokemon,['Multitype'],3.2000000000000002,320,Normal,,720,120,120,120,120,120,120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,3,30840,0,0,1,0
494,Victini,5,Victory Pokemon,['Victory Star'],0.40000000000000002,4,Psychic,Fire,600,100,100,100,100,100,100,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,3,30840,100,0,1,0
495,Snivy,5,Grass Snake Pokemon,"['Overgrow', 'Contrary']",0.59999999999999987,8.0999999999999979,Grass,,308,45,45,55,45,55,63,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
496,Servine,5,Grass Snake Pokemon,"['Overgrow', 'Contrary']",0.80000000000000004,16,Grass,,413,60,60,75,60,75,83,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
497,Serperior,5,Regal Pokemon,"['Overgrow', 'Contrary']",3.2999999999999998,63,Grass,,528,75,75,95,75,95,113,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,45,5140,70,0,0,0
498,Tepig,5,Fire Pig Pokemon,"['Blaze', 'Thick Fat']",0.5,9.9000000000000004,Fire,,308,65,63,45,45,45,45,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,45,5140,70,0,0,0
499,Pignite,5,Fire Pig Pokemon,"['Blaze', 'Thick Fat']",1,55.5,Fire,Fighting,418,90,93,55,70,55,55,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,5140,70,0,0,0
500,Emboar,5,Mega Fire Pig Pokemon,"['Blaze', 'Reckless']",1.6000000000000001,150,Fire,Fighting,528,110,123,65,100,65,65,0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,45,5140,70,0,0,0
501,Oshawott,5,Sea Otter Pokemon,"['Torrent', 'Shell Armor']",0.5,5.9000000000000004,Water,,308,55,55,45,63,45,45,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
502,Dewott,5,Discipline Pokemon,"['Torrent', 'Shell Armor']",0.80000000000000004,24.5,Water,,413,75,75,60,83,60,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
503,Samurott,5,Formidable Pokemon,"['Torrent', 'Shell Armor']",1.5,94.599999999999994,Water,,528,95,100,85,108,70,70,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,5140,70,0,0,0
504,Patrat,5,Scout Pokemon,"['Run Away', 'Keen Eye', 'Analytic']",0.5,11.6,Normal,,255,45,55,39,35,39,42,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
505,Watchog,5,Lookout Pokemon,"['Illuminate', 'Keen Eye', 'Analytic']",1.1000000000000001,27,Normal,,420,60,85,69,60,69,77,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,5140,70,0,0,0
506,Lillipup,5,Puppy Pokemon,"['Vital Spirit', 'Pickup', 'Run Away']",0.40000000000000002,4.0999999999999996,Normal,,275,45,60,45,25,45,55,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
507,Herdier,5,Loyal Dog Pokemon,"['Intimidate', 'Sand Rush', 'Scrappy']",0.90000000000000002,14.699999999999999,Normal,,370,65,80,65,35,65,60,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,3855,70,0,0,0
508,Stoutland,5,Big-Hearted Pokemon,"['Intimidate', 'Sand Rush', 'Scrappy']",1.2,61,Normal,,500,85,110,90,45,90,80,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3855,70,0,0,0
509,Purrloin,5,Devious Pokemon,"['Limber', 'Unburden', 'Prankster']",0.40000000000000002,10.1,Dark,,281,41,50,37,50,37,66,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,255,5140,70,0,0,0
510,Liepard,5,Cruel Pokemon,"['Limber', 'Unburden', 'Prankster']",1.1000000000000001,37.5,Dark,,446,64,88,50,88,50,106,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,5140,70,0,0,0
511,Pansage,5,Grass Monkey Pokemon,"['Gluttony', 'Overgrow']",0.59999999999999987,10.5,Grass,,316,50,53,48,53,48,64,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,190,5140,70,0,0,0
512,Simisage,5,Thorn Monkey Pokemon,"['Gluttony', 'Overgrow']",1.1000000000000001,30.5,Grass,,498,75,98,63,98,63,101,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5140,70,0,0,0
513,Pansear,5,High Temp Pokemon,"['Gluttony', 'Blaze']",0.59999999999999987,11,Fire,,316,50,53,48,53,48,64,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,190,5140,70,0,0,0
514,Simisear,5,Ember Pokemon,"['Gluttony', 'Blaze']",1,28,Fire,,498,75,98,63,98,63,101,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,5140,70,0,0,0
515,Panpour,5,Spray Pokemon,"['Gluttony', 'Torrent']",0.59999999999999987,13.5,Water,,316,50,53,48,53,48,64,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,190,5140,70,0,0,0
516,Simipour,5,Geyser Pokemon,"['Gluttony', 'Torrent']",1,29,Water,,498,75,98,63,98,63,101,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,75,5140,70,0,0,0
517,Munna,5,Dream Eater Pokemon,"['Forewarn', 'Synchronize', 'Telepathy']",0.59999999999999987,23.300000000000001,Psychic,,292,76,25,45,67,55,24,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,190,2570,70,0,0,0
518,Musharna,5,Drowsing Pokemon,"['Forewarn', 'Synchronize', 'Telepathy']",1.1000000000000001,60.5,Psychic,,487,116,55,85,107,95,29,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,2570,70,0,0,0
519,Pidove,5,Tiny Pigeon Pokemon,"['Big Pecks', 'Super Luck', 'Rivalry']",0.29999999999999988,2.1000000000000001,Normal,Flying,264,50,55,50,36,30,43,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,255,3855,70,0,0,0
520,Tranquill,5,Wild Pigeon Pokemon,"['Big Pecks', 'Super Luck', 'Rivalry']",0.59999999999999987,15,Normal,Flying,358,62,77,62,50,42,65,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,120,3855,70,0,0,0
521,Unfezant,5,Proud Pokemon,"['Big Pecks', 'Super Luck', 'Rivalry']",1.2,29,Normal,Flying,488,80,115,80,65,55,93,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,45,3855,70,0,0,0
522,Blitzle,5,Electrified Pokemon,"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",0.80000000000000004,29.800000000000001,Electric,,295,45,60,32,50,32,76,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,190,5140,70,0,0,0
523,Zebstrika,5,Thunderbolt Pokemon,"['Lightning Rod', 'Motor Drive', 'Sap Sipper']",1.6000000000000001,79.5,Electric,,497,75,100,63,80,63,116,1,1,1,0,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,5140,70,0,0,0
524,Roggenrola,5,Mantle Pokemon,"['Sturdy', 'Weak Armor', 'Sand Force']",0.40000000000000002,18,Rock,,280,55,75,85,25,25,15,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,255,3855,70,0,0,0
525,Boldore,5,Ore Pokemon,"['Sturdy', 'Weak Armor', 'Sand Force']",0.90000000000000002,102,Rock,,390,70,105,105,50,40,20,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,120,3855,70,0,0,0
526,Gigalith,5,Compressed Pokemon,"['Sturdy', 'Sand Stream', 'Sand Force']",1.7,260,Rock,,515,85,135,130,60,80,25,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,45,3855,70,0,0,0
527,Woobat,5,Bat Pokemon,"['Unaware', 'Klutz', 'Simple']",0.40000000000000002,2.1000000000000001,Psychic,Flying,323,65,45,43,55,43,72,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,190,3855,70,0,0,0
528,Swoobat,5,Courting Pokemon,"['Unaware', 'Klutz', 'Simple']",0.90000000000000002,10.5,Psychic,Flying,425,67,57,55,77,55,114,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,45,3855,70,0,0,0
529,Drilbur,5,Mole Pokemon,"['Sand Rush', 'Sand Force', 'Mold Breaker']",0.29999999999999988,8.5,Ground,,328,60,85,40,30,45,68,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5140,70,0,0,0
530,Excadrill,5,Subterrene Pokemon,"['Sand Rush', 'Sand Force', 'Mold Breaker']",0.69999999999999984,40.399999999999999,Ground,Steel,508,110,135,60,50,65,88,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,60,5140,70,0,0,0
531,Audino,5,Hearing Pokemon,"['Healer', 'Regenerator', 'Klutz']",1.1000000000000001,31,Normal,,445,103,60,86,60,86,50,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,5140,70,0,0,0
531,Audino-Mega,5,Hearing Pokemon,['Healer'],1.5,32,Normal,Fairy,545,103,60,126,80,126,50,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,255,5140,70,0,0,1
532,Timburr,5,Muscular Pokemon,"['Guts', 'Sheer Force', 'Iron Fist']",0.59999999999999987,12.5,Fighting,,305,75,80,55,25,35,35,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,180,5140,70,0,0,0
533,Gurdurr,5,Muscular Pokemon,"['Guts', 'Sheer Force', 'Iron Fist']",1.2,40,Fighting,,405,85,105,85,40,50,40,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,90,5140,70,0,0,0
534,Conkeldurr,5,Muscular Pokemon,"['Guts', 'Sheer Force', 'Iron Fist']",1.3999999999999999,87,Fighting,,505,105,140,95,55,65,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,5140,70,0,0,0
535,Tympole,5,Tadpole Pokemon,"['Swift Swim', 'Hydration', 'Water Absorb']",0.5,4.5,Water,,294,50,50,40,50,40,64,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,255,5140,70,0,0,0
536,Palpitoad,5,Vibration Pokemon,"['Swift Swim', 'Hydration', 'Water Absorb']",0.80000000000000004,17,Water,Ground,384,75,65,55,65,55,69,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,120,5140,70,0,0,0
537,Seismitoad,5,Vibration Pokemon,"['Swift Swim', 'Poison Touch', 'Water Absorb']",1.5,62,Water,Ground,509,105,95,75,85,75,74,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5140,70,0,0,0
538,Throh,5,Judo Pokemon,"['Guts', 'Inner Focus', 'Mold Breaker']",1.3,55.5,Fighting,,465,120,100,85,30,85,45,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,5140,70,0,0,0
539,Sawk,5,Karate Pokemon,"['Sturdy', 'Inner Focus', 'Mold Breaker']",1.3999999999999999,51,Fighting,,465,75,125,75,30,75,85,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,45,5140,70,0,0,0
540,Sewaddle,5,Sewing Pokemon,"['Swarm', 'Chlorophyll', 'Overcoat']",0.29999999999999988,2.5,Bug,Grass,310,45,53,70,40,60,42,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,255,3855,70,0,0,0
541,Swadloon,5,Leaf-Wrapped Pokemon,"['Leaf Guard', 'Chlorophyll', 'Overcoat']",0.5,7.2999999999999998,Bug,Grass,380,55,63,90,50,80,42,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,120,3855,70,0,0,0
542,Leavanny,5,Nurturing Pokemon,"['Swarm', 'Chlorophyll', 'Overcoat']",1.2,20.5,Bug,Grass,500,75,103,80,70,80,92,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5,45,3855,70,0,0,0
543,Venipede,5,Centipede Pokemon,"['Poison Point', 'Swarm', 'Speed Boost']",0.40000000000000002,5.2999999999999998,Bug,Poison,260,30,45,59,30,39,57,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,255,3855,70,0,0,0
544,Whirlipede,5,Curlipede Pokemon,"['Poison Point', 'Swarm', 'Speed Boost']",1.2,58.5,Bug,Poison,360,40,55,99,40,79,47,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,120,3855,70,0,0,0
545,Scolipede,5,Megapede Pokemon,"['Poison Point', 'Swarm', 'Speed Boost']",2.5,200.5,Bug,Poison,485,60,100,89,55,69,112,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,5140,70,0,0,0
546,Cottonee,5,Cotton Puff Pokemon,"['Prankster', 'Infiltrator', 'Chlorophyll']",0.29999999999999988,0.59999999999999987,Grass,Fairy,280,40,27,60,37,50,66,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5,190,5140,70,0,0,0
547,Whimsicott,5,Windveiled Pokemon,"['Prankster', 'Infiltrator', 'Chlorophyll']",0.69999999999999984,6.5999999999999996,Grass,Fairy,480,60,67,85,77,75,116,1,0.5,0,0.5,1,0.5,2,2,1,0.5,0.5,2,1,4,1,1,2,0.5,75,5140,70,0,0,0
548,Petilil,5,Bulb Pokemon,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",0.5,6.5999999999999996,Grass,,280,45,35,50,70,50,30,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,190,5140,70,0,0,0
549,Lilligant,5,Flowering Pokemon,"['Chlorophyll', 'Own Tempo', 'Leaf Guard']",1.1000000000000001,16.300000000000001,Grass,,480,70,60,75,110,75,90,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5140,70,0,0,0
550,Basculin-Redstriped,5,Hostile Pokemon,"['Reckless', 'Adaptability', 'Mold Breaker']",1,18,Water,,460,70,92,65,80,55,98,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,25,10280,70,0,0,0
550,Basculin-Bluestriped,5,Hostile Pokemon,"['Rock Head', 'Adaptability', 'Mold Breaker']",1,18,Water,,460,70,92,65,80,55,98,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,25,10280,70,0,0,0
551,Sandile,5,Desert Croc Pokemon,"['Intimidate', 'Moxie', 'Anger Point']",0.69999999999999984,15.199999999999999,Ground,Dark,292,50,72,35,35,35,65,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,180,5140,70,0,0,0
552,Krokorok,5,Desert Croc Pokemon,"['Intimidate', 'Moxie', 'Anger Point']",1,33.399999999999999,Ground,Dark,351,60,82,45,45,45,74,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,90,5140,70,0,0,0
553,Krookodile,5,Intimidation Pokemon,"['Intimidate', 'Moxie', 'Anger Point']",1.5,96.299999999999997,Ground,Dark,519,95,117,80,65,70,92,2,0.5,1,0,2,2,1,1,0.5,2,1,2,1,0.5,0,0.5,1,2,45,5140,70,0,0,0
554,Darumaka,5,Zen Charm Pokemon,"['Hustle', 'Inner Focus']",0.59999999999999987,37.5,Fire,,315,70,90,45,15,45,50,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,120,5140,70,0,0,0
554,Darumaka-Galar,5,Zen Charm Pokemon,"['Hustle', 'Inner Focus']",0.69999999999999984,40,Ice,,315,70,90,45,15,45,50,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1, ,5140,70,0,0,0
555,Darmanitan-Standard,5,Blazing Pokemon,"['Sheer Force', 'Zen Mode']",1.3,92.900000000000006,Fire,,480,105,140,55,30,55,95,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,60,5140,70,0,0,0
555,Darmanitan-Zen,5,Blazing Pokemon,"['Sheer Force', 'Zen Mode']",1.3,92.900000000000006,Fire,Psychic,540,105,30,105,140,105,55,1,2,1,1,0.5,0.5,0.5,1,2,0.5,2,0.5,1,1,0.5,2,0.5,2,60,5140,70,0,0,0
555,Darmanitan-Standard-Galar,5,Zen Charm Pokemon,"['Gorilla Tactics', 'Zen Mode']",1.7,120,Ice,,480,105,140,55,30,55,95,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,60,5140,70,0,0,0
555,Darmanitan-Zen-Galar,5,Zen Charm Pokemon,"['Gorilla Tactics', 'Zen Mode']",1.7,120,Ice,Fire,540,105,160,55,30,55,135,0.5,1,1,1,0.5,2,1,1,1,0.5,2,0.25,1,1,1,4,1,2,60,5140,70,0,0,0
556,Maractus,5,Cactus Pokemon,"['Water Absorb', 'Chlorophyll', 'Storm Drain']",1,28,Grass,,461,75,86,67,106,67,60,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0,255,5140,70,0,0,0
557,Dwebble,5,Rock Inn Pokemon,"['Sturdy', 'Shell Armor', 'Weak Armor']",0.29999999999999988,14.5,Bug,Rock,325,50,65,85,35,35,55,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,190,5140,70,0,0,0
558,Crustle,5,Stone Home Pokemon,"['Sturdy', 'Shell Armor', 'Weak Armor']",1.3999999999999999,200,Bug,Rock,485,70,105,125,65,75,45,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,75,5140,70,0,0,0
559,Scraggy,5,Shedding Pokemon,"['Shed Skin', 'Moxie', 'Intimidate']",0.59999999999999987,11.800000000000001,Dark,Fighting,348,50,75,70,35,70,48,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,180,3855,35,0,0,0
560,Scrafty,5,Hoodlum Pokemon,"['Shed Skin', 'Moxie', 'Intimidate']",1.1000000000000001,30,Dark,Fighting,488,65,90,115,45,115,58,1,0.25,1,1,4,2,1,2,0.5,1,1,1,1,1,0,0.5,1,1,90,3855,70,0,0,0
561,Sigilyph,5,Avianoid Pokemon,"['Wonder Skin', 'Magic Guard', 'Tinted Lens']",1.3999999999999999,14,Psychic,Flying,490,72,58,80,103,80,97,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1,45,5140,70,0,0,0
562,Yamask,5,Spirit Pokemon,['Mummy'],0.5,1.5,Ghost,,303,38,30,85,55,65,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,190,6425,70,0,0,0
562,Yamask-Galar,5,Spirit Pokemon,['Wandering Spirit'],0.5,1.5,Ground,Ghost,303,38,55,85,30,65,30,0.5,2,1,0,1,0,1,1,2,2,1,2,0,0.25,1,0.5,1,2,190,6425,70,0,0,0
563,Cofagrigus,5,Coffin Pokemon,['Mummy'],1.7,76.5,Ghost,,483,58,50,145,95,105,30,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,90,6425,70,0,0,0
564,Tirtouga,5,Prototurtle Pokemon,"['Solid Rock', 'Sturdy', 'Swift Swim']",0.69999999999999984,16.5,Water,Rock,355,54,78,103,53,45,22,1,1,1,1.5,1,1.5,0.25,0.5,1,3,1.5,0.5,0.5,0.5,1,1,1,1,45,7710,70,0,0,0
565,Carracosta,5,Prototurtle Pokemon,"['Solid Rock', 'Sturdy', 'Swift Swim']",1.2,81,Water,Rock,495,74,108,133,83,65,32,1,1,1,1.5,1,1.5,0.25,0.5,1,3,1.5,0.5,0.5,0.5,1,1,1,1,45,7710,70,0,0,0
566,Archen,5,First Bird Pokemon,['Defeatist'],0.5,9.5,Rock,Flying,401,55,112,45,74,45,70,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,45,7710,70,0,0,0
567,Archeops,5,First Bird Pokemon,['Defeatist'],1.3999999999999999,32,Rock,Flying,567,75,140,65,112,65,110,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,45,7710,70,0,0,0
568,Trubbish,5,Trash Bag Pokemon,"['Stench', 'Sticky Hold', 'Aftermath']",0.59999999999999987,31,Poison,,329,50,50,62,40,62,65,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,190,5140,70,0,0,0
569,Garbodor,5,Trash Heap Pokemon,"['Stench', 'Weak Armor', 'Aftermath']",1.8999999999999999,107.3,Poison,,474,80,95,82,60,82,75,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,5140,70,0,0,0
570,Zorua,5,Tricky Fox Pokemon,['Illusion'],0.69999999999999984,12.5,Dark,,330,40,65,40,80,40,65,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,75,6425,70,0,0,0
571,Zoroark,5,Illusion Fox Pokemon,['Illusion'],1.6000000000000001,81.09999999999998,Dark,,510,60,105,60,120,60,105,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,45,5140,70,0,0,0
572,Minccino,5,Chinchilla Pokemon,"['Cute Charm', 'Technician', 'Skill Link']",0.40000000000000002,5.7999999999999998,Normal,,300,55,50,40,40,40,75,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,255,3855,70,0,0,0
573,Cinccino,5,Scarf Pokemon,"['Cute Charm', 'Technician', 'Skill Link']",0.5,7.5,Normal,,470,75,95,60,65,60,115,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3855,70,0,0,0
574,Gothita,5,Fixation Pokemon,"['Frisk', 'Competitive', 'Shadow Tag']",0.40000000000000002,5.7999999999999998,Psychic,,290,45,30,50,55,65,45,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,200,5140,70,0,0,0
575,Gothorita,5,Manipulate Pokemon,"['Frisk', 'Competitive', 'Shadow Tag']",0.69999999999999984,18,Psychic,,390,60,45,70,75,85,55,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,5140,70,0,0,0
576,Gothitelle,5,Astral Body Pokemon,"['Frisk', 'Competitive', 'Shadow Tag']",1.5,44,Psychic,,490,70,55,95,95,110,65,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5140,70,0,0,0
577,Solosis,5,Cell Pokemon,"['Overcoat', 'Magic Guard', 'Regenerator']",0.29999999999999988,1,Psychic,,290,45,30,40,105,50,20,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,200,5140,70,0,0,0
578,Duosion,5,Mitosis Pokemon,"['Overcoat', 'Magic Guard', 'Regenerator']",0.59999999999999987,8,Psychic,,370,65,40,50,125,60,30,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,100,5140,70,0,0,0
579,Reuniclus,5,Multiplying Pokemon,"['Overcoat', 'Magic Guard', 'Regenerator']",1,20.100000000000001,Psychic,,490,110,65,75,125,85,30,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,50,5140,70,0,0,0
580,Ducklett,5,Water Bird Pokemon,"['Keen Eye', 'Big Pecks', 'Hydration']",0.5,5.5,Water,Flying,305,62,44,50,44,50,55,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,190,5140,70,0,0,0
581,Swanna,5,White Bird Pokemon,"['Keen Eye', 'Big Pecks', 'Hydration']",1.3,24.199999999999999,Water,Flying,473,75,87,63,87,63,98,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,45,5140,70,0,0,0
582,Vanillite,5,Fresh Snow Pokemon,"['Ice Body', 'Snow Cloak', 'Weak Armor']",0.40000000000000002,5.7000000000000002,Ice,,305,36,50,50,65,60,44,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,255,5140,70,0,0,0
583,Vanillish,5,Icy Snow Pokemon,"['Ice Body', 'Snow Cloak', 'Weak Armor']",1.1000000000000001,41,Ice,,395,51,65,65,80,75,59,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,120,5140,70,0,0,0
584,Vanilluxe,5,Snowstorm Pokemon,"['Ice Body', 'Snow Warning', 'Weak Armor']",1.3,57.5,Ice,,535,71,95,85,110,95,79,1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,45,5140,70,0,0,0
585,Deerling,5,Season Pokemon,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",0.59999999999999987,19.5,Normal,Grass,335,60,60,50,40,50,75,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5,190,5140,70,0,0,0
586,Sawsbuck,5,Season Pokemon,"['Chlorophyll', 'Sap Sipper', 'Serene Grace']",1.8999999999999999,92.5,Normal,Grass,475,80,100,70,60,70,95,2,1,1,0.5,1,2,2,2,0,0.5,0.5,2,1,2,1,1,1,0.5,75,5140,70,0,0,0
587,Emolga,5,Sky Squirrel Pokemon,"['Static', 'Motor Drive']",0.40000000000000002,5,Electric,Flying,428,55,75,60,75,60,103,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1,200,5140,70,0,0,0
